Date,Close/Last,Volume,Open,High,Low,Company
02/06/2023,"103,47",25573050,"102,69"," 104,70"," 102,21",Google
02/03/2023,"105,22",36823420,"103,51"," 108,02"," 103,30",Google
02/02/2023,"108,80",46622630,"106,79"," 108,82"," 106,54",Google
02/01/2023,"101,43",26392570,"99,74"," 102,19"," 98,42",Google
01/31/2023,"99,87",22306780,"97,86"," 99,91"," 97,79",Google
01/30/2023,"97,95",24365140,"98,75"," 99,41"," 97,52",Google
01/27/2023,"100,71",29020350,"99,05"," 101,58"," 98,97",Google
01/26/2023,"99,16",24542060,"98,28"," 99,21"," 96,82",Google
01/25/2023,"96,73",31000850,"97,20"," 97,72"," 95,26",Google
01/24/2023,"99,21",27391370,"99,55"," 101,09"," 98,70",Google
01/23/2023,"101,21",31791780,"99,13"," 101,40"," 98,75",Google
01/20/2023,"99,28",53704760,"95,95"," 99,42"," 95,91",Google
01/19/2023,"93,91",28707650,"91,39"," 94,40"," 91,38",Google
01/18/2023,"91,78",19641620,"92,94"," 93,59"," 91,40",Google
01/17/2023,"92,16",22935820,"92,78"," 92,97"," 90,84",Google
01/13/2023,"92,80",18630710,"91,53"," 92,98"," 90,93",Google
01/12/2023,"91,91",22754220,"92,40"," 92,62"," 90,57",Google
01/11/2023,"92,26",25998840,"90,06"," 92,45"," 89,74",Google
01/10/2023,"89,24",22855590,"86,72"," 89,47"," 86,70",Google
01/09/2023,"88,80",22996680,"89,19"," 90,83"," 88,58",Google
01/06/2023,"88,16",26612630,"87,36"," 88,47"," 85,57",Google
01/05/2023,"86,77",23136080,"88,07"," 88,21"," 86,56",Google
01/04/2023,"88,71",27046480,"91,01"," 91,24"," 87,80",Google
01/03/2023,"89,70",20738460,"89,83"," 91,55"," 89,02",Google
12/30/2022,"88,73",19190300,"87,36"," 88,83"," 87,03",Google
12/29/2022,"88,95",18280660,"87,03"," 89,36"," 86,99",Google
12/28/2022,"86,46",17879570,"87,50"," 88,52"," 86,37",Google
12/27/2022,"87,93",15470870,"89,31"," 89,50"," 87,53",Google
12/23/2022,"89,81",17815010,"87,62"," 90,10"," 87,62",Google
